OBJECTNUMMER;Naam;Modaliteit;Lijn;Lijn_select;RADIUS;Label;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;"Nieuwezijds Kolk";"Tram";"2 | 12 | 13 | 17";"02|12|13|17";5;"2 | 12 | 13 | 17 - Nieuwezijds Kolk";"POINT(4.893344 52.376071)";"POINT(52.376071 4.893344)";4.893344;52.376071;
2;"Surinameplein / Curaçaostraat";"Tram";"1 | 17 | 27";"01|17|27";5;"1 | 17 | 27 - Surinameplein / Curaçaostraat";"POINT(4.853117 52.358384)";"POINT(52.358384 4.853117)";4.853117;52.358384;
3;"Johan Huizingalaan";"Tram";"1 | 17 | 27";"01|17|27";5;"1 | 17 | 27 - Johan Huizingalaan";"POINT(4.827325 52.357816)";"POINT(52.357816 4.827325)";4.827325;52.357816;
5;"Prinsengracht";"Tram";"2 | 12";"02|12";5;"2 | 12 - Prinsengracht";"POINT(4.884466 52.365024)";"POINT(52.365024 4.884466)";4.884466;52.365024;
6;"Keizergracht";"Tram";"2 | 12";"02|12";5;"2 | 12 - Keizergracht";"POINT(4.886446 52.365963)";"POINT(52.365963 4.886446)";4.886446;52.365963;
7;"Koningsplein";"Tram";"2 | 12";"02|12";5;"2 | 12 - Koningsplein";"POINT(4.8891545 52.3678894)";"POINT(52.3678894 4.8891545)";4.8891545;52.3678894;
8;"Matterhorn";"Tram";"1";"01";5;"1 - Matterhorn";"POINT(4.774775 52.353745)";"POINT(52.353745 4.774775)";4.774775;52.353745;
9;"Pilatus";"Tram";"1";"01";5;"1 - Pilatus";"POINT(4.776846 52.352917)";"POINT(52.352917 4.776846)";4.776846;52.352917;
10;"Inarisstraat";"Tram";"1";"01";5;"1 - Inarisstraat";"POINT(4.783287 52.350338)";"POINT(52.350338 4.783287)";4.783287;52.350338;
11;"Baden Powellweg";"Tram";"1";"01";5;"1 - Baden Powellweg";"POINT(4.794747 52.350985)";"POINT(52.350985 4.794747)";4.794747;52.350985;
12;"Hoekenes";"Tram";"1";"01";5;"1 - Hoekenes";"POINT(4.802256 52.352505)";"POINT(52.352505 4.802256)";4.802256;52.352505;
13;"Louis Davidsstraat";"Tram";"1";"01";5;"1 - Louis Davidsstraat";"POINT(4.808843 52.353897)";"POINT(52.353897 4.808843)";4.808843;52.353897;
14;"Eerste Constantijn Huygensstraat / Overtoom";"Tram";"1 | 3";"01|03";5;"1 | 3 - Eerste Constantijn Huygensstraat / Overtoom";"POINT(4.875287 52.362752)";"POINT(52.362752 4.875287)";4.875287;52.362752;
15;"Rhijnvis Feithstraat";"Tram";"1";"01";5;"1 - Rhijnvis Feithstraat";"POINT(4.860096 52.358968)";"POINT(52.358968 4.860096)";4.860096;52.358968;
16;"Kruislaan";"Tram";"19";"19";5;"19 - Kruislaan";"POINT(4.94019 52.347758)";"POINT(52.347758 4.94019)";4.94019;52.347758;
17;"Brinkstraat";"Tram";"19";"19";5;"19 - Brinkstraat";"POINT(4.947649 52.343074)";"POINT(52.343074 4.947649)";4.947649;52.343074;
18;"Arent Krijtstraat";"Tram";"19";"19";5;"19 - Arent Krijtstraat";"POINT(4.954533 52.33961)";"POINT(52.33961 4.954533)";4.954533;52.33961;
19;"Diemerbrug";"Tram";"19";"19";5;"19 - Diemerbrug";"POINT(4.9612609 52.3382985)";"POINT(52.3382985 4.9612609)";4.9612609;52.3382985;
21;"Diemen Sniep";"Tram";"19";"19";5;"19 - Diemen Sniep";"POINT(4.969577 52.336763)";"POINT(52.336763 4.969577)";4.969577;52.336763;
22;"Dapperstraat";"Tram";"1 | 3";"01|03";5;"1 | 3 - Dapperstraat";"POINT(4.929368 52.361019)";"POINT(52.361019 4.929368)";4.929368;52.361019;
23;"Meer en Vaart";"Tram";"1 | 17 | 27";"01|17|27";5;"1 | 17 | 27 - Meer en Vaart";"POINT(4.810137 52.356401)";"POINT(52.356401 4.810137)";4.810137;52.356401;
24;"Derkinderenstraat";"Tram";"1 | 17 | 27";"01|17|27";5;"1 | 17 | 27 - Derkinderenstraat";"POINT(4.840032 52.357957)";"POINT(52.357957 4.840032)";4.840032;52.357957;
25;"Corantijnstraat";"Tram";"17";"17";5;"17 - Corantijnstraat";"POINT(4.853279 52.361472)";"POINT(52.361472 4.853279)";4.853279;52.361472;
26;"Postjesweg / Hoofdweg";"Tram";"7 | 17";"07|17";5;"7 | 17 - Postjesweg / Hoofdweg";"POINT(4.8534365 52.364245)";"POINT(52.364245 4.8534365)";4.8534365;52.364245;
27;"Ten Katestraat";"Tram";"7 | 17";"07|17";5;"7 | 17 - Ten Katestraat";"POINT(4.867544 52.365975)";"POINT(52.365975 4.867544)";4.867544;52.365975;
28;"Kinkerstraat / Bilderdijkstraat";"Tram";"3 | 7 | 17";"03|07|17";5;"3 | 7 | 17 - Kinkerstraat / Bilderdijkstraat";"POINT(4.872164 52.367246)";"POINT(52.367246 4.872164)";4.872164;52.367246;
29;"Leidseplein";"Tram";"1 | 2 | 5 | 7 | 12 | 19";"01|02|05|07|12|19";5;"1 | 2 | 5 | 7 | 12 | 19 - Leidseplein";"POINT(4.882348 52.363775)";"POINT(52.363775 4.882348)";4.882348;52.363775;
30;"Ecuplein";"Tram";"1";"01";5;"1 - Ecuplein";"POINT(4.788597 52.349776)";"POINT(52.349776 4.788597)";4.788597;52.349776;
31;"J.P. Heijestraat";"Tram";"1";"01";5;"1 - J.P. Heijestraat";"POINT(4.866245 52.360454)";"POINT(52.360454 4.866245)";4.866245;52.360454;
32;"Van Hallstraat";"Tram";"3";"03";5;"3 - Van Hallstraat";"POINT(4.869865 52.384237)";"POINT(52.384237 4.869865)";4.869865;52.384237;
33;"Nieuwe Willemsstraat";"Tram";"5";"05";5;"5 - Nieuwe Willemsstraat";"POINT(4.881058 52.381498)";"POINT(52.381498 4.881058)";4.881058;52.381498;
34;"Azartplein";"Tram";"7";"07";5;"7 - Azartplein";"POINT(4.937331 52.376743)";"POINT(52.376743 4.937331)";4.937331;52.376743;
35;"Plein `40-`45";"Tram";"7";"07";5;"7 - Plein `40-`45";"POINT(4.821459 52.381325)";"POINT(52.381325 4.821459)";4.821459;52.381325;
